,index,CASE,A501x01,A501x02,A501x03,A501x04,A501x05,A501x06,A501x07,A501x08,A501x09,A501x10,translated_words,DAT
0,1.0,533,Hammer,Sonne,Toilette,Rasenmäher,Farbe,Fingernagel,Haaransatz ,Mathematik,Geschlechtsverkehr,Augenblick ,"['hammer', 'Sun', 'Toilet', 'mowing machine', 'Color', 'fingernail', 'Hairline', 'mathematics', 'Sexual intercourse', 'moment']",82.7945
1,2.0,538,Tisch,Auto,Buch,Regenbogen,Trommel,Fussball,Urlaub,Freunde,Ameise,Essen,"['Table', 'automobile', 'Book', 'Rainbow', 'drum', 'Football', 'Vacation', 'Friends', 'ant', 'Eat']",82.23865
2,3.0,540,Pflanze,Fahrrad,Universität,Fußball,Eiswürfel,Rasenmäher,Huhn,Computer,Haarklammer,Taschenlampe,"['plant', 'Bicycle', 'university', 'football', 'Ice cubes', 'mowing machine', 'Chicken', 'computer', 'hair clip', 'flashlight']",80.583015
3,4.0,544,Wolken,Reh,Hotel,Revolution,Wähler,Sondermüll,Antwort,Kontrolle,Kerze,Reihe,"['Clouds', 'Deer', 'hotel', 'revolution', 'Voters', 'Hazardous waste', 'Answer', 'control', 'Candle', 'Row']",83.12324
4,5.0,548,Katze,Tisch,Pflanze,Hose,Zucchini ,Himbeere ,Holz,Absinth ,Teddybär ,Fernseher ,"['Cat', 'Table', 'plant', 'trousers', 'zucchini', 'raspberry', 'Wood', 'absinthe', 'teddy bear', 'TV']",78.542175
5,6.0,550,Baum,Flasche,Zug,Maus,Eingang,Reise,Fußball,Funktion,Anlass,Behauptung,"['Tree', 'Bottle', 'Train', 'Mouse', 'Entrance', 'Trip', 'football', 'function', 'Occasion', 'claim']",78.978065
6,7.0,553,Auto,Vokabel,Rahmenbedingung,Potenzial,Institution,Vorteilhaftigkeit,Farbschema,Karotte,Fahrtüchtigkeit,Vater,"['automobile', 'Vocabulary', 'Framework', 'potential', 'institution', 'Advantageousness', 'Color scheme', 'carrot', 'Ability to drive', 'Father']",82.89932
7,8.0,555,Haus,Essen,Konzert,Tiefsee,Schwarzes Loch,Mikroskop,Superheld,Schwarzwald,Atomenergie,Maus,"['House', 'Eat', 'concert', 'Deep sea', 'Black hole', 'microscope', 'superhero', 'Black Forest', 'Nuclear energy', 'Mouse']",86.53321
8,9.0,562,Tisch,Fussball,Wald,Schloss,Natur,Behörde,Land,Spanien,Eier,Avocado,"['Table', 'Football', 'Forest', 'Lock', 'Nature', 'authority', 'country', 'Spain', 'Eggs', 'avocado']",74.47163
9,10.0,564,Zoo,Kaffetasse,Blumen,Tannenzapfen,Regenbogen,Ozean,Büroklammer,Tapetenkleister,Krone,Feuer,"['zoo', 'Coffee cup', 'Flowers', 'pinecone', 'Rainbow', 'ocean', 'paper clip', 'Wallpaper paste', 'Crown', 'Fire']",85.80215
10,11.0,567,Gießkanne,Aktienmarkt,Kirche,Wal,Mond,Nudeln,Sporthalle,Pullover,Bordstein,Zahnbürste,"['watering can', 'Stock market', 'Church', 'whale', 'moon', 'Pasta', 'Gym', 'pullover', 'curb', 'toothbrush']",85.14218
11,12.0,568,Isolationswohnhaft,Freiheit,Verachtsamkeit,Ananas,Wolke,Uran,Fragebogen,Rakete,Tiefseefisch,Nasenfluegel,"['Isolation living', 'Freedom', 'Contemptuousness', 'pineapple', 'Cloud', 'uranium', 'questionnaire', 'rocket', 'Deep sea fish', 'Nostrils']",92.60949
12,13.0,571,Haus,Wind,Fahrrad,Katze,Sprung,Bibel,Konzentration,Medikament,Abbruch,Korkenzieher,"['House', 'wind', 'Bicycle', 'Cat', 'Leap', 'Bible', 'concentration', 'drug', 'cancellation', 'corkscrew']",80.77161
13,15.0,578,Antarktis,Gott,Zündspule,Fäulnis,Unterschied,Trugschluss,Hundehütte,Liederabend,Brutzeit,Kommunismus,"['Antarctic', 'God', 'ignition coil', 'Rot', 'Difference', 'Fallacy', 'Doghouse', 'Recital', 'Breeding season', 'communism']",89.67953
14,16.0,580,Haus,Zug,Sportschuh,Ehering,Bibel,Mathematik,Grundschule,Zahnarzt,Telefon,Kamera,"['House', 'Train', 'Sports shoe', 'Wedding ring', 'Bible', 'mathematics', 'Primary school', 'dentist', 'phone', 'camera']",80.97849
15,17.0,582,Hund,Wasser,Regenbogen,Bilanz,Organ,Steckdose,Buchstabe,Tomate,Farbe,Schwerkraft,"['Dog', 'Water', 'Rainbow', 'Balance sheet', 'organ', 'Power outlet', 'Letter', 'tomato', 'Color', 'Gravity']",78.018616
16,18.0,585,Universität,Sonnenschein,Krankheit,Ohrring,Intelligenz,Freude,Farbe,Masse,Wärme,Kunst,"['university', 'sunshine', 'Illness', 'Earring', 'intelligence', 'Joy', 'Color', 'Dimensions', 'warmth', 'Art']",81.86467
17,19.0,586,Tisch,Fisch,Sonne,Film,Mathematik,Hungernot,Dünger,Therapie,Dachziegel,Ausdauer,"['Table', 'Fish', 'Sun', 'Movie', 'mathematics', 'Famine', 'fertilizer', 'therapy', 'Roof tiles', 'Endurance']",85.069534
18,20.0,588,Geld,Mindset,Erfolg ,Selbstständigkeit,Vertrauen,Disziplin,Ansehen,Unternehmen,Mann,Frau,"['Money', 'Mindset', 'Success', 'independence', 'Trust', 'discipline', 'View', 'Pursue', 'Man', 'Woman']",65.86448
19,21.0,591,Penis,Tomate ,Gras ,VW Bus ,Salat ,Griechenland ,Abseits ,Fenster,Kette,Auspuff,"['penis', 'tomato', 'grass', 'VW Bus', 'salad', 'Greece', 'Offside', 'Window', 'Chain', 'Exhaust']",82.23787
20,22.0,597,Auto ,Sonnenblume ,Bett ,Kugelschreiber ,Küchenwaage ,Erdnuss ,Zahnpasta ,Kaffeebohne ,Erdbeere ,Jeans ,"['automobile', 'Sunflower', 'Bed', 'Ballpoint pen', 'Kitchen scales', 'peanut', 'toothpaste', 'Coffee bean', 'strawberry', 'Jeans']",74.55872
21,23.0,599,Ente ,Schraubenzieher ,Auto,Schwimmbad,Teppich ,Trinkflasche,Straßenbahn,Stuhlbein,Musikbox ,Staub,"['duck', 'screwdriver', 'automobile', 'Swimming pool', 'Carpet', 'Drinking bottle', 'tram', 'Chair leg', 'Jukebox', 'Dust']",85.134995
